Site_ID,Year,Season,Start_Date,End_Date
HBK,2017,Leaf,5/4/17,10/11/17
W1,2017,Leaf,5/4/17,10/11/17
W2,2017,Leaf,5/4/17,10/11/17
W3,2017,Leaf,5/4/17,10/11/17
W4,2017,Leaf,5/4/17,10/11/17
W5,2017,Leaf,5/4/17,10/11/17
W6,2017,Leaf,5/4/17,10/11/17
W9,2017,Leaf,5/4/17,10/11/17
HBK,2017,Cooling,10/11/17,12/11/17
W1,2017,Cooling,10/11/17,12/11/17
W2,2017,Cooling,10/11/17,12/11/17
W3,2017,Cooling,10/11/17,12/11/17
W4,2017,Cooling,10/11/17,12/11/17
W5,2017,Cooling,10/11/17,12/11/17
W6,2017,Cooling,10/11/17,12/11/17
W9,2017,Cooling,10/11/17,12/11/17
W5,2017,Snow,12/11/17,2/12/18
W2,2017,Snow,12/11/17,2/16/18
W3,2017,Snow,12/11/17,2/16/18
W1,2017,Snow,12/11/17,2/17/18
HBK,2017,Snow,12/11/17,2/18/18
W9,2017,Snow,12/11/17,3/3/18
W4,2017,Snow,12/11/17,3/9/18
W6,2017,Snow,12/11/17,3/29/18
HBK,2018,Warming,2/18/18,4/26/18
W1,2018,Warming,2/17/18,4/26/18
W2,2018,Warming,2/16/18,4/26/18
W3,2018,Warming,2/16/18,4/26/18
W4,2018,Warming,3/9/18,4/26/18
W5,2018,Warming,2/12/18,4/26/18
W6,2018,Warming,3/29/18,4/26/18
W9,2018,Warming,3/3/18,4/26/18
W6,2018,Warming to Peak,3/29/18,5/14/18
W2,2018,Warming to Peak,2/16/18,5/29/18
W3,2018,Warming to Peak,2/16/18,5/29/18
W4,2018,Warming to Peak,3/9/18,5/29/18
W5,2018,Warming to Peak,2/12/18,6/4/18
W1,2018,Warming to Peak,2/17/18,6/11/18
W9,2018,Warming to Peak,3/3/18,6/18/18
HBK,2018,Warming to Peak,2/18/18,7/16/18
HBK,2018,Leaf,4/26/18,10/25/18
W1,2018,Leaf,4/26/18,10/25/18
W2,2018,Leaf,4/26/18,10/25/18
W3,2018,Leaf,4/26/18,10/25/18
W4,2018,Leaf,4/26/18,10/25/18
W5,2018,Leaf,4/26/18,10/25/18
W6,2018,Leaf,4/26/18,10/25/18
W9,2018,Leaf,4/26/18,10/25/18
HBK,2018,Cooling,10/25/18,11/19/18
W1,2018,Cooling,10/25/18,11/19/18
W2,2018,Cooling,10/25/18,11/19/18
W3,2018,Cooling,10/25/18,11/19/18
W4,2018,Cooling,10/25/18,11/19/18
W5,2018,Cooling,10/25/18,11/19/18
W6,2018,Cooling,10/25/18,11/19/18
W9,2018,Cooling,10/25/18,11/19/18
W9,2018,Snow,11/19/18,2/10/19
HBK,2018,Snow,11/19/18,2/12/19
W2,2018,Snow,11/19/18,3/19/19
W3,2018,Snow,11/19/18,3/19/19
W1,2018,Snow,11/19/18,3/28/19
W4,2018,Snow,11/19/18,3/29/19
W5,2018,Snow,11/19/18,3/29/19
W6,2018,Snow,11/19/18,3/29/19
HBK,2019,Warming,2/12/19,5/6/19
W1,2019,Warming,3/28/19,5/6/19
W2,2019,Warming,3/19/19,5/6/19
W3,2019,Warming,3/19/19,5/6/19
W4,2019,Warming,3/29/19,5/6/19
W5,2019,Warming,3/29/19,5/6/19
W6,2019,Warming,3/29/19,5/6/19
W9,2019,Warming,2/10/19,5/6/19
W2,2019,Warming to Peak,3/19/19,5/20/19
W6,2019,Warming to Peak,3/29/19,5/20/19
W1,2019,Warming to Peak,3/28/19,5/28/19
W4,2019,Warming to Peak,3/29/19,5/28/19
W5,2019,Warming to Peak,3/29/19,5/28/19
HBK,2019,Warming to Peak,2/12/19,6/10/19
W3,2019,Warming to Peak,3/19/19,6/10/19
W9,2019,Warming to Peak,2/10/19,6/24/19
HBK,2019,Leaf,5/6/19,11/4/19
W1,2019,Leaf,5/6/19,11/4/19
W2,2019,Leaf,5/6/19,11/4/19
W3,2019,Leaf,5/6/19,11/4/19
W4,2019,Leaf,5/6/19,11/4/19
W5,2019,Leaf,5/6/19,11/4/19
W6,2019,Leaf,5/6/19,11/4/19
W9,2019,Leaf,5/6/19,11/4/19
HBK,2019,Cooling,11/4/19,12/3/19
W1,2019,Cooling,11/4/19,12/3/19
W2,2019,Cooling,11/4/19,12/3/19
W3,2019,Cooling,11/4/19,12/3/19
W4,2019,Cooling,11/4/19,12/3/19
W5,2019,Cooling,11/4/19,12/3/19
W6,2019,Cooling,11/4/19,12/3/19
W9,2019,Cooling,11/4/19,12/3/19
W5,2019,Snow,12/3/19,2/24/20
W3,2019,Snow,12/3/19,3/3/20
W4,2019,Snow,12/3/19,3/3/20
W6,2019,Snow,12/3/19,3/3/20
W1,2019,Snow,12/3/19,3/7/20
W2,2019,Snow,12/3/19,3/7/20
W9,2019,Snow,12/3/19,3/8/20
W1,2020,Warming,3/7/20,5/17/20
W2,2020,Warming,3/7/20,5/17/20
W3,2020,Warming,3/3/20,5/17/20
W4,2020,Warming,3/3/20,5/17/20
W5,2020,Warming,2/24/20,5/17/20
W6,2020,Warming,3/3/20,5/17/20
W9,2020,Warming,3/8/20,5/17/20
W1,2020,Warming to Peak,3/7/20,5/26/20
W2,2020,Warming to Peak,3/7/20,5/26/20
W3,2020,Warming to Peak,3/3/20,5/26/20
W5,2020,Warming to Peak,2/24/20,5/26/20
W6,2020,Warming to Peak,3/3/20,5/28/20
W4,2020,Warming to Peak,3/3/20,6/1/20
W9,2020,Warming to Peak,3/8/20,6/22/20
W1,2020,Leaf,5/17/20,11/16/20
W2,2020,Leaf,5/17/20,11/16/20
W3,2020,Leaf,5/17/20,11/16/20
W4,2020,Leaf,5/17/20,11/16/20
W5,2020,Leaf,5/17/20,11/16/20
W6,2020,Leaf,5/17/20,11/16/20
W9,2020,Leaf,5/17/20,11/16/20
W1,2020,Cooling,11/16/20,12/7/20
W2,2020,Cooling,11/16/20,12/7/20
W3,2020,Cooling,11/16/20,12/7/20
W4,2020,Cooling,11/16/20,12/7/20
W5,2020,Cooling,11/16/20,12/7/20
W6,2020,Cooling,11/16/20,12/7/20
W9,2020,Cooling,11/16/20,12/7/20
W1,2020,Snow,12/7/20,3/9/21
W5,2020,Snow,12/7/20,3/9/21
W6,2020,Snow,12/7/20,3/9/21
W1,2021,Warming,3/9/21,5/2/21
W5,2021,Warming,3/9/21,5/2/21
W6,2021,Warming,3/9/21,5/2/21
W5,2021,Warming to Peak,3/9/21,5/17/21
W6,2021,Warming to Peak,3/9/21,5/17/21
W1,2021,Warming to Peak,3/9/21,6/21/21
W1,2021,Leaf,5/2/21,10/13/21
W5,2021,Leaf,5/2/21,10/13/21
W6,2021,Leaf,5/2/21,10/13/21
W1,2021,Cooling,10/13/21,11/29/21
W5,2021,Cooling,10/13/21,11/29/21
W6,2021,Cooling,10/13/21,11/29/21
W6,2021,Snow,11/29/21,2/17/22
W6,2022,Warming,2/17/22,5/14/22
W6,2022,Warming to Peak,2/17/22,5/16/22
W6,2022,Leaf,5/14/22,9/19/22
W6,2022,Cooling,9/19/22,11/29/22
W6,2022,Snow,11/29/22,4/4/23
W6,2023,Warming,4/4/23,4/30/23
W6,2023,Warming to Peak,4/4/23,5/30/23
W6,2023,Leaf,4/30/23,10/24/23